,News,Label
45,"Amazon drivers get $60 million in withheld tips back, FTC says",1
379,"UPDATE 1-Amazon partnered with China propaganda arm to win Beijing's favor, document shows",1
1438,Amazon acknowledges issue of drivers urinating in bottles in apology to Rep. Pocan,1
1259,SPECIAL REPORT-Amazon documents reveal company's secret strategy to dodge India's regulators,1
62,EXPLAINER-Why is India facing a coal shortage?,0
1622,Fired Amazon worker files discrimination lawsuit over pandemic conditions,1
251,France says to work with India to promote multilateral order,0
1297,Exclusive: India plans foreign investment rule changes that could hit Amazon,1
1405,German watchdog launches new investigation into Amazon - report,1
340,"U.S. regulator sues Amazon, demands recall of hazardous products",1
667,"India approves $3.5 billion incentive scheme for auto sector, drones",0
954,German union calls for Amazon workers to strike on 'Prime Day',1
787,India's November retail inflation climbs to 4.91% y/y,0
1374,UPDATE 1-Amazon to hike fees for Spanish users after new digital tax,1
1010,New COVID-19 cases in India rise sharply for fifth consecutive day,0
1204,US STOCKS-Glum Amazon earnings drag Nasdaq futures down 1% ahead of inflation data,1
68,How India flipped its vaccine fortunes,0
164,India says it accidentally fired missile into Pakistan,0
33,BRIEF-Fitch Affirms India At 'BBB-'; Outlook Negative,0
1439,UPDATE 1-U.S. judge declines to dismiss Amazon allegations Trump interfered in JEDI contract,1
49,"India's new COVID-19 cases surge to 179,723",0
286,"UK foreign minister to discuss security, defence ties with India",0
81,Amazon sues financial crime agency in latest twist of Indian battle,1
9,Amazon hires Twitter executive to tackle diversity challenges,1
106,"India reduces excise duty on petrol, diesel - source",0
967,India's Bharat Biotech says supply chains not impacted by Russia-Ukraine conflict,0
923,Amazon-backed Rivian in talks with ministers over UK factory -Sky News,1
985,Bolsonaro visits indigenous reservations in Amazon for first time,1
545,Amazon commits $250 million for India's small businesses as traders question practices,1
61,India to waive transmission costs for green hydrogen manufacturers,0
942,UPDATE 1-Teamsters votes to support and fund Amazon workers,1
1559,Amazon to launch portable version of Echo speaker - WSJ,1
474,2nd Circuit judge signals that OSHA should handle Amazon COVID case,1
116,"India's new COVID-19 cases surge to 179,723",0
1101,UPDATE 1-U.S. judge ends Amazon challenge to $10 bln cloud contract after Pentagon cancellation,1
929,"Indian mobile retailers call for Amazon probe, cap on online smartphone sales",1
647,Air quality set to plummet in India's capital after clean spell,0
761,India's new COVID-19 cases jump to two-month high,0
758,Climate migration predicted to rise in India as extreme weather worsens,0
356,"UK foreign minister to discuss security, defence ties with India",0
857,Peru's indigenous tribes use tech tools to track Amazon deforestation,1
923,Demand still strong for India-made AstraZeneca vaccine doses - COVAX's GAVI,0
468,U.S. defended Amazon after article showed company bypassed Indian law,1
337,"India's COVID-19 cases rise by 333,533 in last 24 hours - govt",0
376,UPDATE 4-WTO panel tells India to comply with trade rules on sugar,0
1328,UPDATE 2-Amazon biome hurtles toward death spiral as deforestation jumps in 2020,1
3,Moody's upgrades outlook on India to stable,0
563,Amazon supports higher corporate taxes in U.S.: Bezos,1
1493,U.S. Pentagon mulls ending JEDI cloud project amid Amazon court battle - WSJ,1
1591,Amazon to invest in new logistics centers in Poland,1
1010,Pakistan e-commerce platform Daraz aims to beef up as Amazon eyes market,1
417,British watchdog plans investigation into Amazon's use of data - FT,1
533,"India sees impact of Omicron blunted by vaccination, prior infections",0
580,Breakingviews - China’s Alibaba slap offers clues to hit Amazon,1
826,Amazon's Staten Island warehouse workers file petition for union election - NLRB,1
1598,Amazon to shut restaurant delivery service in U.S.,1
685,India cuts import taxes on vegetable oils to calm prices,0
525,Amazon's video game division cancels Lord of the Rings game announced in 2019,1
441,"Amazon to create 3,000 new permanent jobs in Italy in 2021",1
188,Amazon bets on Black Friday deals in early holiday shopping push,1
1511,Fundraising site Kickstarter drops Amazon for payments,1
730,"Invoking 'Quit India', minister welcomes Amazon, Flipkart ruling",1
1303,"EU privacy watchdog to investigate EU institutions' use of Amazon, Microsoft cloud services",1
714,"India reports first Omicron cases, no plan to authorise boosters",0
1555,FTC probing allegations of Amazon's deceptive discounting,1
622,"EXCLUSIVE-Amazon seeking to settle EU antitrust investigations, sources say",1
1057,Indigenous peoples sue retailer Casino over Amazon destruction,1
1362,"Brazil must show Amazon protection is working, top donor Norway says",1
1566,Amazon acquires Indian payments processor Emvantage,1
752,"India unveils new rice variety to cut down on use of water, labour",0
1381,Amazon to close fashion website endless.com,1
903,EXPLAINER-How Amazon's battle with Reliance for India retail supremacy became a legal jungle,1
342,"RPT-Amazon seeks to pause antitrust review of 2019 deal with India's Future, documents show",1
37,New demographic data shows continued divide at Amazon,1
1558,Amazon expands logistics reach with move into ocean shipping,1
1446,Amazon to stop offering daily deals,1
102,Amazon to open fashion store where algorithms suggest what to try on,1
792,Amazon hit with $886 million EU data privacy fine,1
477,UAE to get 3 Amazon Web Services data centres in 2022,1
95,Amazon files new legal challenges in dispute with Future Group-sources,1
892,"India reports 38,667 new COVID-19 cases in last 24 hours",0
72,Amazon developing new point-of-sale system to attract small businesses - Insider,1
651,BRIEF-India CCI OKs Acquisition Of Glaxosmithkline Asia Private,0
1395,Senior Amazon lawyer returns to Fenwick as big firms welcome tech vets,1
314,"Amazon seeks to pause antitrust review of 2019 deal with India's Future, documents show",1
1200,"REFILE-India plans tighter e-commerce rules amid complaints over Amazon, Flipkart",1
715,India's hijab dispute reaches its most populous state,0
610,India's Dream11 app faces police case after introduction of gaming ban,0
183,CORRECTED-Amazon to start offering insurance to UK businesses -broker,1
514,"India's monsoon gathers pace in September, set for delayed retreat",0
797,Walmart's Flipkart says Indian probe shouldn't treat it the same as Amazon,1
1111,"UPDATE 2-India court quashes Amazon, Walmart's Flipkart bid to stall antitrust probe",1
534,Amazon gets 9 ULA satellite launch vehicles for broadband internet program,1
1471,Brazil to reinstate protection for Amazon reserve,1
415,India's Feb oil imports surge as refiners boost runs,0
908,UPDATE 1-Amazon workers eligible to hold union election at New York warehouse -NLRB,1
500,Italians stay afloat by faking it on Amazon,1
664,Velodyne issues warrant for 39.6 mln shares to Amazon subsidiary,1
696,"ANALYSIS-Despite client shift to 'multicloud', Amazon notches up sunny sales",1
1364,Amazon workers at German warehouse to strike again,1
551,Angry Indian traders counter Amazon summit with own event,1
1424,Amazon expands logistics reach in China,1
1318,Amazon names Adam Selipsky to lead AWS,1
462,U.S. defended Amazon after article showed company bypassed Indian law,1
779,Lawsuit accuses Amazon of 'systemic' racism in corporate offices,1
561,"Israel picks Amazon's AWS, Google for flagship cloud project",1
971,"Google, India antitrust watchdog tussle in court over probe leak",0
991,UPDATE 1-India's Reliance to take on 200 Future stores amid Amazon dispute - sources,1
1159,Amazon to open two new hubs in Italy this year,1
958,Amazon's first cashierless store arrives in Britain in sign of global expansion,1
159,Amazon's palm print recognition raises concern among by U.S. senators,1
1317,India's Future likens Amazon's bid to stall retail deal to 'ruthless' Alexander the Great,1
277,India's economic advisory council expects it to grow 7%-7.5% in 2022/23,0
110,Is Amazon ready to raise the price of Prime delivery? Wall Street thinks so,1
832,U.S. labor board begins reviewing ballots from Amazon workers in Alabama,1
1380,EXPLAINER-Fight over Amazon U.S. union could continue after the vote,1
1071,"U.S. labor board officer recommends new Amazon election in Alabama, union says",1
42,"Telenor partners with Amazon to modernise systems, offer services",1
1015,India says no report of its students being held hostage in Ukraine,0
52,Microsoft unveils fourth data center in India,0
324,Amazon UK working to minimise 'Black Friday' disruption after Extinction Rebellion protests,1
150,Indigenous leaders push new target to protect Amazon from deforestation,1
129,India's Future Retail asks court to declare arbitration with Amazon illegal,1
98,Amazon could face claims by U.S. agency over union supporter's firing,1
309,"Amazon seeks to pause antitrust review of 2019 deal with India's Future, documents show",1
930,"Indian mobile retailers call for Amazon probe, cap on online smartphone sales",1
1379,EXPLAINER-Fight over Amazon U.S. union could continue after the vote,1
1397,GameStop appoints Amazon executive as chief growth officer,1
471,U.S. and India in talks over timeline for restarting COVID-19 vaccine exports,0
1194,UPDATE 3-'No sense of job security': Amazon union organizers tell lawmakers in Alabama,1
1630,Amazon Prime Video now available on Apple TV,1
37,India formalises acquisition of 56 Airbus C295 aircraft,0
889,"India proposes mandatory side, curtain airbags in all cars from Oct",0
258,Factbox-India's Modi has mixed record of economic management,0
557,Amazon commits $250 mln for India's small businesses as traders question practices,1
785,Walmart's Flipkart says Indian probe shouldn't treat it the same as Amazon,1
1449,Amazon announces $100 million logistics investment in Mexico,1
346,"SPECIAL REPORT-Amazon partnered with China propaganda arm to win Beijing's favor, document shows",1
1351,"Amazon tries to block Future's retail asset sale, seeks CEO's detention - filing",1
367,India seeks to move coal to areas of shortage as power demand rises,0
21,India's gender inequity in vaccinations narrows,0
1634,Amazon expands Morrisons deal with full-range offer,1
1164,Amazon-backed Wiliot raises $200 mln in investment led by SoftBank Vision Fund 2,1
1539,BRIEF-Amazon Studio Interim Chief On Twitter Welcomes Jennifer Salke As Head Of Amazon Studios,1
106,France moves to shield its book industry from Amazon,1
308,"U.S. top diplomat Blinken to visit India, Kuwait",0
131,India current account swings to surplus in June quarter,0
1335,Breakingviews - Capital Calls - Walgreens' Amazon vaccine,1
522,Hearing on objections to Amazon union election to start May 7: labor group,1
1117,Breakingviews - India Insight: Amazon has plenty to fight for,1
27,Amazon invests in Italian automated packaging machines maker,1
297,Shopee dips toe in India e-commerce market with seller recruitment campaign,0
30,India Nov trade deficit at record $23.27 billion,0
243,India summons South Korea envoy over Hyundai Pakistan tweet,0
836,"India reports 35,499 new COVID-19 cases - govt statement",0
886,"Buy now, pay later set to surge over ten-fold in India",0
965,India's top lender stops handling trade with sanctioned Russian entities - sources,0
134,Wistron partners with India's Optiemus in boost for electronics manufacturing,0
710,"Amazon, Reliance set to lock horns over India's cricket media rights",1
409,BRIEF-Amazon Faces Possible $425 Mln EU Privacy Fine - WSJ,1
1332,New Amazon CEO: from life in the cloud to running one of the world's biggest firms,1
845,"FACTBOX-The challenges facing Amazon's new CEO, Andy Jassy",1
144,Union says Amazon continues to interfere with election at Alabama warehouse,1
1275,BRIEF-Amazon Launches Amazon Prime In Singapore,1
743,"Boat carrying dozens sinks in India's northeast, one dead",0
708,"EXCLUSIVE-Brazil shuts illegal timber schemes, sheds light on Amazon logging",1
1192,"Bollywood, streaming giants on edge as Amazon gets flak for hurting religious beliefs in India",1
203,Heritage land dispute over Amazon's new Africa HQ goes to court,1
1154,"Amazon backs marijuana legalization, drops weed testing for some jobs",1
59,Tesla crash-tests India’s industrial focus,0
373,"India reports 258,089 new daily COVID-19 infections",0
39,Amazon latest megacap to join stock split squad,1
183,India's chief economic adviser Subramanian steps down,0
1486,BRIEF-Eros Now Available On Amazon Channels,1
451,Column: India looks to Russia to solve the energy crisis Moscow created,0
204,A Myanmar family flees to India with no plans to return soon,0
1011,Brazil's Bolsonaro obstructs environmental fines key to protecting Amazon,1
309,Qatar Energy says it is committed to being trusted energy supplier for India,0
990,Soccer-Lazio ask Amazon Prime to cut 'fascists' scene from Maradona series,1
274,India's top general laid to rest with full military honours,0
652,What's next for Amazon's Bezos? Look at his Instagram,1
1534,Amazon starts on-site COVID-19 vaccination for U.S. employees,1
329,"Vodafone, Amazon partner to launch 'edge computing' in UK",1
1220,CORRECTED-Indigenous leaders warn of missionaries turning Amazon villages against vaccines,1
1022,UPDATE 5-Amazon sales growth slows in tame start to Jassy's tenure as CEO,1
713,Amazon seen triumphing over Apple privacy changes in digital ad business,1
1229,Amazon buys 11 aircraft to make deliveries faster,1
1377,Amazon pilot lifts stock exchanges into the cloud,1
585,Amazon wins EU antitrust nod for $8.5 billion MGM acquisition,1
579,Amazon board approves 20-for-1 stock split,1
36,Amazon Fire TV in U.S. and Canada get TikTok,1
288,UPDATE 1-Amazon seeks U.S. approval to launch two internet satellites by 2022,1
139,"India bonds, rupee gain; federal budget in focus",0
82,"India reports 41,965 new COVID-19 cases",0
958,"REFILE-India reports 264,202 new coronavirus infections in past 24 hours",0
1612,Insight: Frugal Amazon opens checkbook for streaming video,1
1352,FOCUS-How the pandemic helped Walmart battle Amazon Marketplace for sellers,1
1378,Amazon pilot lifts stock exchanges into the cloud,1
545,Investcorp eyes India private equity growth and capital boost for online retailer,0
284,Amazon UK poaches Tesco veteran Tony Hoggett to run stores,1
1000,UPDATE 3-Amazon accepts Visa credit cards in global truce over fees,1
1169,US STOCKS-Wall Street declines with Amazon; S&P 500 on track for monthly gain,1
878,India says no report of its students being held hostage in Ukraine,0
22,Shareholders urge Amazon to boost tax transparency - FT,1
582,Amazon accused of violating U.S. labor law after union supporters' arrests,1
1452,Amazon faces backlash from Indian ruling party lawmakers over web series 'Tandav',1
1586,Amazon spending threatens 1st-quarter profit,1
320,UPDATE 1-Five U.S. lawmakers accuse Amazon of possibly lying to Congress following Reuters report,1
440,"India's COVID-19 cases multiply, vulnerable groups given vaccine boosters",0
1190,Amazon to pay $61.7 million to settle charges it stole driver tips,1
964,"Amazon to allow work without face masks, require vaccination for paid COVID leave",1
1577,BRIEF-Amazon plans to open new office in Vancouver,1
845,Resumption of India's COVAX vaccine supply delayed by Nepal - sources,0
1436,Amazon in talks with Simon & Schuster: Moonves,1
48,Kuwait to resume commercial flights with India on Tuesday,0
377,Cricket-Reactions to Kohli stepping down as India test skipper,0
712,India to introduce new battery swapping policy in EV push,0
729,"Invoking 'Quit India', minister welcomes Amazon, Flipkart ruling",1
1459,Amazon union vote enters final stretch in watershed moment for U.S. labor,1
551,Floundering private sales of vaccine in India deal blow to Russia's Sputnik V,0
1411,BRIEF-Amazon Launches The International Shopping Experience In The Amazon Shopping App,1
415,Amazon faces potential $425 million EU privacy fine - WSJ,1
370,France's Casino expands Amazon partnership with collect services,1
176,Growth in India's services activity picked up in Feb,0
951,"UPDATE 10-Six dead, no hope of more survivors after tornadoes destroy Amazon warehouse near St Louis",1
1556,Amazon buys Israeli startup E8 Storage: source,1
369,Amazon to grant new CEO Jassy over $200 million in stock,1
806,India's Modi offers help in peace efforts over Ukraine crisis,0
996,Amazon in talks with NFL for Prime Video rights deal - WSJ,1
176,EXCLUSIVE-Amazon faces Teamsters union drive at nine Canadian sites,1
891,"NFL reaches long-term media deals with Amazon, Disney and others",1
186,Australian state sets minimum pay for Amazon contractors in landmark step,1
1620,Amazon to launch Kindle in Japan next month - Nikkei,1
818,India's August gold imports nearly double as prices dip ahead of festivals,0
585,India says net zero target date for carbon emissions not a solution,0
71,"UPDATE 1-Amazon to create 1,500 apprenticeships in UK in 2022",1
210,"India reports 42,625 new coronavirus cases",0
388,India plans to produce 5 million tonnes of green hydrogen by 2030,0
427,Axis Bank closing in on Citi India's consumer business - sources,0
887,Cricket-Former India spinner Harbhajan calls time on career,0
833,"India cuts tax on crude palm oil imports to help consumers, refiners",0
1602,Amazon Prime Video now available on Apple TV,1
1582,Amazon doubles deliveries in 2016 for third-party sellers,1
142,Flights of Japan's ANA hit by check-in delays over Amazon's AWS woes,1
175,India urges ceasefire in Ukrainian city to evacuate students,0
597,Coal India ramps up supplies to address shortage at utilities,0
843,Factbox: How the U.S. government oversees the Amazon union vote,1
17,Amazon workers in Germany to strike for better pay,1
534,Exclusive-India in talks on multi-year fertiliser import deal with Russia -sources,0
1016,UPDATE 3-Amazon-backed EV maker Rivian discloses nearly $1 bln losses in IPO filing,1
421,India says U.S. willing to collaborate to achieve green energy goals,0
1406,UPDATE 1-Amazon union election in Alabama has 55% voter turnout,1
164,"Amazon seeks U.S. approval to deploy 4,500 additional satellites for internet project",1
1093,"India top court says antitrust probe of Amazon, Walmart’s Flipkart should continue",1
83,U.S. labor board sets dates for union vote at Amazon warehouse in Alabama,1
1058,GLOBAL MARKETS-Amazon helps stocks steady but prospects for rate hikes loom over markets,1
1001,"Walmart's Flipkart, Amazon challenge India court order on antitrust probe",1
1503,"EU charges Amazon with anti-competitive action, opens second probe",1
19,India's gender inequity in vaccinations narrows,0
399,India likely to allow export of Sputnik Light COVID shot this month - sources,0
1627,"After Apple, Amazon, too, may be in for wild ride",1
394,India's Jan trade deficit touches $17.94 billion - trade ministry,0
118,Brazil's Space Agency signs agreement with Amazon Web Services,1
809,"After Flipkart, Amazon files appeal at India's Supreme Court in antitrust probe",1
756,Amazon workers strike in Italy over pandemic-driven delivery demands,1
1237,EXCLUSIVE-Amazon extends moratorium on police use of facial recognition software,1
615,Resumption of India's COVAX vaccine supply delayed by Nepal - sources,0
142,Foxconn to restructure management at India iPhone plant,0
398,India's October power shortage worst since March 2016,0
842,India's Serum Institute applies for full approval of Covishield vaccine,0
639,Amazon acknowledges issue of drivers urinating in bottles in apology to Rep. Pocan,1
915,Amazon to make TV streaming device in India,1
177,Amazon plans to more than double base pay cap for employees - memo,1
467,India's top refiner plans thousands of electric car charging stations,0
703,Amazon finds ways to uninterrupted services as China orders lockdowns,1
397,"RPT-UPDATE 1-Amazon cloud service glitch resolved after disruptions to Japan brokers, airline -Kyodo",1
155,India's households wrestle with inflation as incomes dip,0
22,Singapore and India's payment services to link in 2022,0
605,India's antitrust body orders Google inquiry after news publishers complain,0
1112,Brazil's Amazon deforestation surges 67% in May as Bolsonaro pledges fall flat,1
586,Amazon to open fashion store where algorithms suggest what to try on,1
1477,Illegal miners infest Venezuela's Amazon,1
1608,Amazon expands local services marketplace in U.S. cities,1
868,India reports smallest rise in COVID-19 deaths since mid-March,0
18,Amazon workers in Germany to strike for better pay,1
863,India's Omicron wave may intensify in coming weeks -experts,0
616,India's crude imports rebound in August on strong demand outlook,0
10,Ford to stop making cars in India,0
536,UPDATE 1-India announces first formal meeting with Taliban,0
542,"India's Odisha, Andhra Pradesh states brace for cyclonic storm",0
1031,Congressional delegation to visit Amazon facility in Alabama to support union vote,1
281,Peloton draws interest from potential suitors like Amazon - WSJ,1
350,American Airlines bets on non-stop travel demand as it relaunches India flights,0
253,Amazon and others commit to using zero-carbon shipping fuels by 2040,1
108,"German union calls on Amazon workers to go on strike on ""Black Friday""",1
246,Amazon bulks up shipping capacity to battle holiday season snarls,1
978,India's antitrust body suspends Amazon's 2019 deal with Future citing suppression of information,1
573,Russia starts missile supplies to India despite U.S. sanctions risk,0
738,India on course for open access in its markets - RBI deputy governor,0
287,"India's daily COVID-19 cases rise by 247,417, highest since May",0
546,"Watch and wear: NFL, Amazon reportedly to expand partnership",1
273,Amazon to offer Universal films after they play on Peacock,1
890,Amazon may be days away from closing deal to buy film studio MGM,1
256,Amazon sales growth slows in tame start to Jassy's tenure as CEO,1
290,China expresses serious concerns on India banning Chinese apps,0
187,Amazon plans to more than double base pay cap for employees - memo,1
1554,"Amazon, Indiana strike state sales tax deal",1
1219,"Amazon, Canal+ win main TV rights for French soccer League 1 - media",1
520,"Amazon CEO pledges logistics, cybersecurity support for Ukraine",1
357,Explainer-How Amazon's battle with Reliance for India retail supremacy became a legal jungle,1
568,India's Sept diesel sales remain below pre-COVID levels,0
160,Explainer - Amazon's battle with Reliance for India retail supremacy,0
498,Amazon steps closer to modern Sears,1
374,6th Circ revives Amazon security check case after Penn. court ruling,1
465,U.S. hopes India will distance itself from Russia after Ukraine invasion,0
130,India's fuel demand reined in by COVID curbs in January,0
934,"India reports 40,120 new COVID-19 cases in last 24 hours",0
266,"India's coal demand likely to grow in absolute terms, phasing out difficult",0
972,"Brazil audit finds 32% of JBS cattle in Amazon state from ""irregular"" farms",1
392,India's September preliminary trade deficit at $22.94 billion - govt,0
392,Amazon's 2nd union vote in New York set for late April - U.S. labor board,1
202,Morgan Stanley boldly sidesteps record India IPO,0
18,"Private banks, pharma weigh on India shares; Pfizer India unit jumps",0
1373,BRIEF-Batelco completes negotiation with Amazon,1
482,India's govt says volatile crude oil prices pose concerns for economy,0
1019,UPDATE 1-Top Amazon official swipes at Bernie Sanders over planned Alabama visit,1
236,"Amazon launches robot to roll around house, Disney resort voice assistant",1
1496,Amazon partners with HTC to make smartphones: report,1
1475,Amazon eyes potential $100 million investment in India's Apollo Pharmacy - ET,1
1120,Amazon and Facebook to fall under new G7 tax rules - Yellen,1
318,"U.S. Senator Warren urges Amazon breakup, India retailers want probe after Reuters story",1
747,India breaks its vaccination record in 'birthday gift' to Modi,0
224,Motorcycling-MotoGP and Amazon to launch new behind-the-scenes docuseries in 2022,1
483,India increases local natural gas prices for Oct-March to $2.90/mmbtu,0
1334,Future Retail seeks tribunal OK for $3.4 billion asset sale deal; Amazon pushes to block,1
811,Hundreds of Ford India workers protest over planned plant closure,0
428,India's monsoon to withdraw from Oct. 6 after Sept downpour,0
886,EXCLUSIVE-Amazon-backed Rivian confirms plan for second U.S. assembly plant,1
660,Amazon GC's pay topped $17 million in high-stakes year,1
1210,"ANALYSIS-India e-commerce rules cast cloud over Amazon, Walmart and local rivals",1
128,"Amazon seeking to settle EU antitrust investigations, sources say",1
216,India unveils higher spending for infrastructure in growth budget,0
668,India gets below-average monsoon rains for second straight week,0
759,"US STOCKS-Nasdaq hits record high with Apple, Amazon results on deck",1
862,"India's COVID cases rise by 333,533 in last 24 hours - govt",0
1263,Amazon faces class-action lawsuit over eBook pricing,1
1158,Amazon's billionaire founder Jeff Bezos to fly to space next month,1
957,EXCLUSIVE-Amazon to proactively remove more content that violates rules from cloud service -sources,1
665,India's Modi defends handling of COVID pandemic amid opposition protests,0
912,UPDATE 3-Amazon cloud unit recovers from brief outage affecting third-party services,1
333,Amazon UK working to minimise 'Black Friday' disruption after Extinction Rebellion protests,1
1147,"Amazon backs marijuana legalization, drops weed testing for some jobs",1
919,"Property, cash and Amazon: Why buyout firms are battling to buy UK’s Morrisons",1
1515,"Amazon signs exclusive deal with CBS for ""Extant""",1
313,"India's economic growth will remain strong in coming quarters, S&P says",0
587,White House: Amazon joined call with others on infrastructure plan,1
214,Amazon to offer Universal films after they play on Peacock,1
362,UPDATE 2-Amazon to offer Universal films after they play on Peacock,1
1341,BMW creates data hub with Amazon to boost efficiency,1
136,Amazon Web Services disruption in Japan has been resolved - Kyodo,1
410,Amazon raises minimum pay in Germany to 12 euros per hour,1
774,Country Music Awards moves from broadcast TV to streaming on Amazon,1
1048,"UPDATE 2-Facebook, Amazon seek U.S. approval to operate undersea data cable",1
981,Amazon's first cashierless store arrives in Britain in sign of global expansion,1
539,"Amazon surges as stock split, buyback excite investors",1
431,UK says India's UN vote swayed by dependence on Russia,0
512,"Amazon brings James Bond, Rocky to fight Netflix with $8.5 billion MGM buy",1
673,Amazon's social media team bares its teeth in Washington,1
1226,"UPDATE 1-Amazon set to launch in Poland, shares in local Allegro fall",1
552,"UPDATE 1-India's Omicron cases mild, vaccine boosters not a priority -government",0
452,India to provide additional subsidy for phosphate-based fertilizer-govt,0
1319,"UPDATE 1-Amazon Flex, Bolt and Ola criticised for failing to ensure minimum wage",1
895,"Third Point sees more value in Amazon, likes some ""old"" tech stocks",1
1,"India asks Coal India to invest in electric vehicles, charging pods",0
513,Challenges abound as Tata draws up a flight plan for Air India,0
599,U.S. regulator advancing probe into Amazon's cloud unit - Bloomberg News,1
1639,German union calls strike at Amazon warehouses,1
1538,Amazon courts software developers for apps and games,1
1309,"UPDATE 1-James Bond movies to stay in theaters despite Amazon deal, producers say",1
439,India 'prepares for the worst' ahead of possible COVID-19 third wave,0
288,"India reports 30,773 new COVID cases as it seeks to welcome back tourists",0
61,Amazon files new legal challenges in dispute with Future Group-sources,1
703,"India reports 29,616 new COVID-19 cases in last 24 hours",0
270,Amazon launches free one-day delivery in Brazil amid fierce competition,1
950,PREVIEW-Is Amazon ready to raise the price of Prime delivery? Wall Street thinks so,1
1092,"US STOCKS-Futures slip after Apple, Amazon results reignite supply, labor woes",1
454,Singapore hopes India ban on Sea's game can be resolved quickly,0
848,Twitter begins hiring to comply with India's new rules,0
744,Rough politics in Brazil's Amazon: mayoral candidates fight in the ring,1
771,ADB to loan India $1.5 billion for COVID-19 vaccines,0
1240,EXCLUSIVE-Amazon extends moratorium on police use of facial recognition software,1
780,"US STOCKS-Nasdaq scales record peak ahead of Apple, Amazon results",1
240,Amazon exec says Omicron's impact on holiday spending uncertain,1
590,India's gasoline demand seen hitting record as COVID curbs ease,0
1086,Indian retailer group calls for ban on Amazon in country after Reuters report,1
875,"India reports first Omicron cases, no plan to authorise boosters",0
976,"Amazon, Walmart's Flipkart must face India antitrust probe, top court says",1
665,"Deforestation in Brazil's Amazon rises in Oct, despite COP26 vows",1
1524,EU watchdog targets Amazon's Luxembourg tax deals,1
145,India's tech capital on alert after death of actor,0
849,Bollywood stars return to India's big screens after more than a year,0
939,India's Congress fires five state chiefs after poll drubbing,0
412,Qatar Energy says it is committed to being trusted energy supplier for India,0
933,UPDATE 1-India's September vehicle sales hit by chip shortage,0
492,"Coronavirus impact worsens India's educational divide, U.N. agency says",0
10,Amazon can't compel arbitration of driver's spying claims,1
416,UPDATE 1-Tata regains Air India control in privatisation victory for Modi,0
327,"Special Report-Amazon copied products and rigged search results to promote its own brands, documents show",1
984,"REUTERS IMPACT-India targets alternate fuels, EVs in clean transport push",0
1272,Amazon stops alcohol sales in Northern Ireland due to Brexit rules - ITV,1
1211,Amazon Web Services opens first office in Greece,1
107,Amazon labor organizer arrested for trespassing after dropping off food for workers,1
411,Cricket-Reactions to Kohli stepping down as India test skipper,0
